Unnamed: 0,State Code,County Code,Site Num,Address,State,County,City,Date Local,NO2 Units,NO2 Mean,NO2 1st Max Value,NO2 1st Max Hour,NO2 AQI,O3 Units,O3 Mean,O3 1st Max Value,O3 1st Max Hour,O3 AQI,SO2 Units,SO2 Mean,SO2 1st Max Value,SO2 1st Max Hour,SO2 AQI,CO Units,CO Mean,CO 1st Max Value,CO 1st Max Hour,CO AQI
46851,20,107,2,COUNTY RD 1103 .7 MI SOUTH OF K-52,Kansas,Linn,Not in a city,2000-07-11,Parts per billion,1.916667,4.0,3,4,Parts per million,0.04425,0.055,9,47,Parts per billion,0.0,0.0,0,0.0,Parts per million,0.7,0.7,0,8.0
17579,6,23,1004,717 SOUTH AVENUE,California,Humboldt,Eureka,2013-07-11,Parts per billion,0.7625,2.8,20,2,Parts per million,0.020125,0.024,10,20,Parts per billion,0.225,0.3,14,,Parts per million,0.2,0.2,0,2.0
66425,19,163,15,10TH ST. & VINE ST. DAVENPORT,Iowa,Scott,Davenport,2012-11-20,Parts per billion,12.75,25.5,7,24,Parts per million,0.011792,0.023,9,19,Parts per billion,0.552174,2.4,11,3.0,Parts per million,0.304167,0.5,8,6.0
56113,29,510,86,"MARGARETTA: 4520 Margaretta, St. Louis, MO 63115",Missouri,St. Louis City,St. Louis,2003-07-08,Parts per billion,8.0,17.0,20,16,Parts per million,0.023375,0.034,8,29,Parts per billion,1.5,2.3,14,,Parts per million,0.275,0.3,0,3.0
123695,48,201,1039,4514 1/2 Durant St,Texas,Harris,Deer Park,2014-11-27,Parts per billion,13.6375,28.9,2,26,Parts per million,0.016333,0.032,10,30,Parts per billion,0.7875,1.9,8,,Parts per million,0.292833,0.85,23,
50641,12,95,2002,MORRIS BLVD.,Florida,Orange,Winter Park,2010-07-29,Parts per billion,8.875,19.0,0,18,Parts per million,0.030042,0.056,9,47,Parts per billion,0.0,0.0,2,,Parts per million,0.566667,0.7,0,8.0
36155,6,95,4,304 TUOLUMNE ST.,California,Solano,Vallejo,2000-07-07,Parts per billion,2.652174,7.0,6,7,Parts per million,0.018417,0.021,20,18,Parts per billion,0.128571,0.3,8,,Parts per million,0.220833,0.3,8,3.0
44179,9,1,9003,SHERWOOD ISLAND STATE PARK,Connecticut,Fairfield,Westport,2009-09-11,Parts per billion,4.0,6.0,15,6,Parts per million,0.016542,0.019,0,16,Parts per billion,0.304167,0.6,1,0.0,Parts per million,0.154167,0.2,11,2.0
89860,51,59,5001,LEWINSVILLE 1437 BALLS HILL RD,Virginia,Fairfax,McLean,2000-05-11,Parts per billion,22.541667,49.0,20,46,Parts per million,0.038958,0.058,9,49,Parts per billion,5.125,8.0,23,11.0,Parts per million,0.345833,0.6,18,
80782,42,125,5,CHARLER01 WASTE TREATMENT PLANT,Pennsylvania,Washington,Charleroi,2006-06-15,Parts per billion,10.541667,23.0,23,22,Parts per million,0.03425,0.06,12,51,Parts per billion,4.2625,8.0,11,,Parts per million,0.220833,0.3,7,3.0
50178,26,81,20,1179 MONROE NW,Michigan,Kent,Grand Rapids,2004-06-16,Parts per billion,10.869565,17.0,6,16,Parts per million,0.0275,0.04,10,34,Parts per billion,1.483333,6.0,8,,Parts per million,0.370833,0.5,3,6.0
87944,37,119,41,1130 EASTWAY DRIVE,North Carolina,Mecklenburg,Charlotte,2011-01-29,Parts per billion,18.083333,34.0,0,32,Parts per million,0.021125,0.04,11,34,Parts per billion,1.3875,2.9,10,3.0,Parts per million,0.469458,1.071,1,
19164,6,59,1003,"2850 MESA VERDE DR EAST, COSTA MESA",California,Orange,Costa Mesa,2003-07-12,Parts per billion,7.478261,17.0,5,16,Parts per million,0.053833,0.063,15,61,Parts per billion,0.0,0.0,2,,Parts per million,0.308696,0.6,5,
89560,42,17,12,ROCKVIEW LANE,Pennsylvania,Bucks,Bristol,2008-08-28,Parts per billion,12.333333,26.0,5,25,Parts per million,0.027708,0.04,10,34,Parts per billion,3.958333,5.0,7,7.0,Parts per million,0.0,0.0,0,0.0
105680,42,11,11,1059 Arnold Road,Pennsylvania,Berks,Not in a city,2014-01-24,Parts per billion,8.041667,12.0,6,11,Parts per million,0.030292,0.035,9,32,Parts per billion,4.625,8.0,22,11.0,Parts per million,0.0,0.0,0,0.0
